yourlist:M202109285BF3C56A578D7D6DFD1FC81EE5DA773020E3889	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q3V230	Q3V230	Q3V230_MOUSE	unreviewed	PHD finger protein SPOC1	Phf13 Spoc1	Mus musculus (Mouse)	296
O88898	O88898	P63_MOUSE	reviewed	Tumor protein 63 (p63) (Transformation-related protein 63) (TP63) (Tumor protein p73-like) (p73L)	Tp63 P63 P73l Tp73l Trp63	Mus musculus (Mouse)	680
Q08943	Q08943	SSRP1_MOUSE	reviewed	FACT complex subunit SSRP1 (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (T160)	Ssrp1	Mus musculus (Mouse)	708
Q61103	Q61103	REQU_MOUSE	reviewed	Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)	Dpf2 Baf45d Req Ubid4	Mus musculus (Mouse)	391
O88379	O88379	BAZ1A_MOUSE	reviewed	Bromodomain adjacent to zinc finger domain protein 1A (Cbp146)	Baz1a Cbp146	Mus musculus (Mouse)	1555
P60122	P60122	RUVB1_MOUSE	reviewed	RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (DNA helicase p50) (Pontin 52) (TIP49a)	Ruvbl1 Tip49 Tip49a	Mus musculus (Mouse)	456
Q9WTM5	Q9WTM5	RUVB2_MOUSE	reviewed	RuvB-like 2 (EC 3.6.4.12) (p47 protein)	Ruvbl2	Mus musculus (Mouse)	463
O55128	O55128	SAP18_MOUSE	reviewed	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p18)	Sap18	Mus musculus (Mouse)	153
Q6PDM2	Q6PDM2	SRSF1_MOUSE	reviewed	Serine/arginine-rich splicing factor 1 (ASF/SF2) (Pre-mRNA-splicing factor SRp30a) (Splicing factor, arginine/serine-rich 1)	Srsf1 Sfrs1	Mus musculus (Mouse)	248
Q62093	Q62093	SRSF2_MOUSE	reviewed	Serine/arginine-rich splicing factor 2 (Protein PR264) (Putative myelin regulatory factor 1) (MRF-1) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	Srsf2 Pr264 Sfrs10 Sfrs2	Mus musculus (Mouse)	221
P70170	P70170	ABCC9_MOUSE	reviewed	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	Abcc9 Sur2	Mus musculus (Mouse)	1546
Q9Z277	Q9Z277	BAZ1B_MOUSE	reviewed	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor homolog) (Williams-Beuren syndrome chromosomal region 9 protein homolog)	Baz1b Wbscr9 Wstf	Mus musculus (Mouse)	1479
A6H619	A6H619	PHRF1_MOUSE	reviewed	PHD and RING finger domain-containing protein 1	Phrf1 Kiaa1542	Mus musculus (Mouse)	1682
Q80YQ2	Q80YQ2	MED23_MOUSE	reviewed	Mediator of RNA polymerase II transcription subunit 23 (Cofactor required for Sp1 transcriptional activation subunit 3) (CRSP complex subunit 3) (Mediator complex subunit 23) (Protein sur-2 homolog) (mSur-2)	Med23 Crsp3 Kiaa1216 Sur2	Mus musculus (Mouse)	1367
Q921N8	Q921N8	GPS2_MOUSE	reviewed	G protein pathway suppressor 2 (GPS-2)	Gps2	Mus musculus (Mouse)	327
Q8R1M0	Q8R1M0	HMCES_MOUSE	reviewed	Abasic site processing protein HMCES (Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein) (ES cell-specific 5hmC-binding protein) (Peptidase HMCES) (EC 3.4.-.-) (SRAP domain-containing protein 1)	Hmces Srap1 Srapd1	Mus musculus (Mouse)	353
Q9JLQ4	Q9JLQ4	Q9JLQ4_MOUSE	unreviewed	Pleiomorphic adenoma gene-like 1 (Zinc finger protein ZAC1)	Plagl1 Zac1	Mus musculus (Mouse)	704
P30658	P30658	CBX2_MOUSE	reviewed	Chromobox protein homolog 2 (M33) (Modifier 3 protein)	Cbx2 M33	Mus musculus (Mouse)	519
Q8K5B8	Q8K5B8	HXC12_MOUSE	reviewed	Homeobox protein Hox-C12 (Homeobox protein Hox-3.8)	Hoxc12 Hox-3.8 Hoxc-12	Mus musculus (Mouse)	280
P97798	P97798	NEO1_MOUSE	reviewed	Neogenin	Neo1 Ngn	Mus musculus (Mouse)	1493
Q91X20	Q91X20	ASH2L_MOUSE	reviewed	Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2-like protein)	Ash2l	Mus musculus (Mouse)	623
E9Q5F9	E9Q5F9	SETD2_MOUSE	reviewed	Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2)	Setd2 Kiaa1732 Kmt3a	Mus musculus (Mouse)	2537
P70315	P70315	WASP_MOUSE	reviewed	Wiskott-Aldrich syndrome protein homolog (WASp)	Was Wasp	Mus musculus (Mouse)	520
P23813	P23813	HXD11_MOUSE	reviewed	Homeobox protein Hox-D11 (Homeobox protein Hox-4.6) (Homeobox protein Hox-5.5)	Hoxd11 Hox-4.6 Hoxd-11	Mus musculus (Mouse)	323
Q9WVG7	Q9WVG7	OSR1_MOUSE	reviewed	Protein odd-skipped-related 1	Osr1 Odd1	Mus musculus (Mouse)	266
Q8BHG1	Q8BHG1	NRDC_MOUSE	reviewed	Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase)	Nrdc Nrd1	Mus musculus (Mouse)	1161
Q920B9	Q920B9	SP16H_MOUSE	reviewed	FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16)	Supt16h Fact140 Factp140 Supt16	Mus musculus (Mouse)	1047
Q61142	Q61142	SPIN1_MOUSE	reviewed	Spindlin-1 (30000 Mr metaphase complex) (SSEC P) (Spindlin1)	Spin1 Spin	Mus musculus (Mouse)	262
P22361	P22361	HNF1A_MOUSE	reviewed	Hepatocyte nuclear factor 1-alpha (HNF-1-alpha) (HNF-1A) (Liver-specific transcription factor LF-B1) (LFB1) (Transcription factor 1) (TCF-1)	Hnf1a Hnf-1 Hnf-1a Tcf1	Mus musculus (Mouse)	628
O88509	O88509	DNM3B_MOUSE	reviewed	DNA (cytosine-5)-methyltransferase 3B (Dnmt3b) (EC 2.1.1.37) (DNA methyltransferase MmuIIIB) (DNA MTase MmuIIIB) (M.MmuIIIB)	Dnmt3b	Mus musculus (Mouse)	859
Q9Z148	Q9Z148	EHMT2_MOUSE	reviewed	Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Protein G9a)	Ehmt2 Bat8 G9a Ng36	Mus musculus (Mouse)	1263
O35615	O35615	FOG1_MOUSE	reviewed	Zinc finger protein ZFPM1 (Friend of GATA protein 1) (FOG-1) (Friend of GATA 1) (Zinc finger protein multitype 1)	Zfpm1 Fog Fog1	Mus musculus (Mouse)	995
Q66JW3	Q66JW3	TOX_MOUSE	reviewed	Thymocyte selection-associated high mobility group box protein TOX (Thymus high mobility group box protein TOX)	Tox	Mus musculus (Mouse)	526
Q02395	Q02395	MTF2_MOUSE	reviewed	Metal-response element-binding transcription factor 2 (Metal regulatory transcription factor 2) (Metal-response element DNA-binding protein M96) (Polycomb-like protein 2) (mPCl2) (Zinc-regulated factor 1) (ZiRF1)	Mtf2 Pcl2	Mus musculus (Mouse)	593
Q8BG87,K9JH93	Q8BG87	TET3_MOUSE	reviewed	Methylcytosine dioxygenase TET3 (EC 1.14.11.n2)	Tet3	Mus musculus (Mouse)	1803
Q6ZPY7	Q6ZPY7	KDM3B_MOUSE	reviewed	Lysine-specific demethylase 3B (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) ([histone H3]-dimethyl-L-lysine(9) demethylase 3B)	Kdm3b Jhdm2b Jmjd1b Kiaa1082	Mus musculus (Mouse)	1562
Q8CIG8	Q8CIG8	ANM5_MOUSE	reviewed	Protein arginine N-methyltransferase 5 (Prmt5) (EC 2.1.1.320) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog)	Prmt5 Jbp1 Skb1	Mus musculus (Mouse)	637
P14733	P14733	LMNB1_MOUSE	reviewed	Lamin-B1	Lmnb1	Mus musculus (Mouse)	588
Q60987	Q60987	FOXG1_MOUSE	reviewed	Forkhead box protein G1 (FoxG1) (Brain factor 1) (BF-1) (BF1) (Forkhead-related protein FKHL1)	Foxg1 Fkhl1 Foxg1b Hfhbf1	Mus musculus (Mouse)	481
Q8BGC0	Q8BGC0	HTSF1_MOUSE	reviewed	HIV Tat-specific factor 1 homolog	Htatsf1	Mus musculus (Mouse)	757
Q8R5A0	Q8R5A0	SMYD2_MOUSE	reviewed	N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (SET and MYND domain-containing protein 2)	Smyd2	Mus musculus (Mouse)	433
G3UX03	G3UX03	G3UX03_MOUSE	unreviewed	Oocyte-specific homeobox 1 (Fragment)	Obox1	Mus musculus (Mouse)	188
O88574	O88574	SAP30_MOUSE	reviewed	Histone deacetylase complex subunit SAP30 (30 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP30) (Sin3-associated polypeptide p30)	Sap30	Mus musculus (Mouse)	220
Q8C5D8	Q8C5D8	PIAS2_MOUSE	reviewed	E3 SUMO-protein ligase PIAS2 (EC 2.3.2.27) (Androgen receptor-interacting protein 3) (ARIP3) (DAB2-interacting protein) (DIP) (Msx-interacting zinc finger protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2) (RING-type E3 ubiquitin transferase PIAS2)	Pias2 Miz1 Piasx	Mus musculus (Mouse)	621
Q9DBY5	Q9DBY5	CBX6_MOUSE	reviewed	Chromobox protein homolog 6	Cbx6	Mus musculus (Mouse)	414
Q6PB97	Q6PB97	FXL19_MOUSE	reviewed	F-box/LRR-repeat protein 19 (F-box and leucine-rich repeat protein 19)	Fbxl19	Mus musculus (Mouse)	674
Q8R3L8	Q8R3L8	CDK8_MOUSE	reviewed	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8)	Cdk8	Mus musculus (Mouse)	464
Q9Z2E2	Q9Z2E2	MBD1_MOUSE	reviewed	Methyl-CpG-binding domain protein 1 (Methyl-CpG-binding protein MBD1)	Mbd1	Mus musculus (Mouse)	636
P48316	P48316	GA45A_MOUSE	reviewed	Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1)	Gadd45a Ddit1 Gadd45	Mus musculus (Mouse)	165
Q9QXV3	Q9QXV3	ING1_MOUSE	reviewed	Inhibitor of growth protein 1	Ing1	Mus musculus (Mouse)	279
A0A286YCP2	A0A286YCP2	A0A286YCP2_MOUSE	unreviewed	Nucleoporin 153 (Fragment)	Nup153	Mus musculus (Mouse)	256
Q62504	Q62504	MINT_MOUSE	reviewed	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	Spen Kiaa0929 Mint Sharp	Mus musculus (Mouse)	3644
P25801	P25801	RBTN2_MOUSE	reviewed	Rhombotin-2 (Cysteine-rich protein TTG-2) (LIM domain only protein 2) (LMO-2) (T-cell translocation protein 2)	Lmo2 Rbtn-2 Rbtn2 Rhom-2	Mus musculus (Mouse)	158
Q8R2V3	Q8R2V3	ZN445_MOUSE	reviewed	Zinc finger protein 445	Znf445 Zfp445	Mus musculus (Mouse)	986
Q9D0N7	Q9D0N7	CAF1B_MOUSE	reviewed	Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit) (CAF-I 60 kDa subunit) (CAF-I p60)	Chaf1b	Mus musculus (Mouse)	572
P17918	P17918	PCNA_MOUSE	reviewed	Proliferating cell nuclear antigen (PCNA) (Cyclin)	Pcna	Mus musculus (Mouse)	261
A0A0U1RNQ5	A0A0U1RNQ5	A0A0U1RNQ5_MOUSE	unreviewed	Remodeling and spacing factor 1 (Fragment)	Rsf1	Mus musculus (Mouse)	14
P42859	P42859	HD_MOUSE	reviewed	Huntingtin (Huntington disease protein homolog) (HD protein homolog) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	Htt Hd Hdh	Mus musculus (Mouse)	3119
O54972	O54972	MTG16_MOUSE	reviewed	Protein CBFA2T3 (Eight twenty one protein 2) (MTG8-related protein 2) (Protein ETO-2)	Cbfa2t3 Cbfa2t3h Mtgr2	Mus musculus (Mouse)	620
Q6P5D8	Q6P5D8	SMHD1_MOUSE	reviewed	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	Smchd1 Kiaa0650	Mus musculus (Mouse)	2007
Q08024	Q08024	PEBB_MOUSE	reviewed	Core-binding factor subunit beta (CBF-beta) (Polyomavirus enhancer-binding protein 2 beta subunit) (PEA2-beta) (PEBP2-beta) (SL3-3 enhancer factor 1 subunit beta) (SL3/AKV core-binding factor beta subunit)	Cbfb Pebp2b Pebpb2	Mus musculus (Mouse)	187
Q8BKT7	Q8BKT7	THOC5_MOUSE	reviewed	THO complex subunit 5 homolog (Fms-interacting protein) (FMIP)	Thoc5 Fmip Kiaa0983	Mus musculus (Mouse)	683
A3KMN0	A3KMN0	A3KMN0_MOUSE	unreviewed	Zbtb16 protein (Fragment)	Zbtb16	Mus musculus (Mouse)	651
P70348	P70348	GCM1_MOUSE	reviewed	Chorion-specific transcription factor GCMa (GCM motif protein 1) (mGCM1) (mGCMa) (Glial cells missing homolog 1)	Gcm1 Gcma	Mus musculus (Mouse)	436
Q04891	Q04891	SOX13_MOUSE	reviewed	Transcription factor SOX-13 (SRY (Sex determining region Y)-box 13) (mSox13)	Sox13 Sox-13	Mus musculus (Mouse)	613
Q64318	Q64318	ZEB1_MOUSE	reviewed	Zinc finger E-box-binding homeobox 1 (Delta EF1) (Transcription factor 8) (TCF-8) (Zinc finger homeobox protein 1a) (MEB1)	Zeb1 Tcf8 Zfhx1a Zfx1a Zfx1ha	Mus musculus (Mouse)	1117
E9QAE3	E9QAE3	E9QAE3_MOUSE	unreviewed	B-TFIID TATA-box-binding protein-associated factor 1	Btaf1	Mus musculus (Mouse)	1848
Q6ZPV2	Q6ZPV2	INO80_MOUSE	reviewed	Chromatin-remodeling ATPase INO80 (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80)	Ino80 Inoc1 Kiaa1259	Mus musculus (Mouse)	1559
Q91WV0	Q91WV0	NC2B_MOUSE	reviewed	Protein Dr1 (Down-regulator of transcription 1) (Negative cofactor 2-beta) (NC2-beta) (TATA-binding protein-associated phosphoprotein)	Dr1	Mus musculus (Mouse)	176
O08856	O08856	ELL_MOUSE	reviewed	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)	Ell	Mus musculus (Mouse)	602
Q9ESC8	Q9ESC8	AFF4_MOUSE	reviewed	AF4/FMR2 family member 4	Aff4 Alf4	Mus musculus (Mouse)	1160
Q9JMD1	Q9JMD1	SMBT1_MOUSE	reviewed	Scm-like with four MBT domains protein 1	Sfmbt1	Mus musculus (Mouse)	863
P45481	P45481	CBP_MOUSE	reviewed	Histone lysine acetyltransferase CREBBP (EC 2.3.1.48) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-)	Crebbp Cbp	Mus musculus (Mouse)	2441
E9PZ63	E9PZ63	E9PZ63_MOUSE	unreviewed	Predicted gene 6871 (Fragment)	Gm6871	Mus musculus (Mouse)	150
Q03147	Q03147	CDK7_MOUSE	reviewed	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (P39 Mo15) (CDK-activating kinase) (CR4 protein kinase) (CRK4) (Cell division protein kinase 7) (Protein-tyrosine kinase MPK-7) (TFIIH basal transcription factor complex kinase subunit)	Cdk7 Cak Cdkn7 Crk4 Mo15 Mpk-7	Mus musculus (Mouse)	346
P15919	P15919	RAG1_MOUSE	reviewed	V(D)J recombination-activating protein 1 (RAG-1) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)]	Rag1	Mus musculus (Mouse)	1040
P21784	P21784	RAG2_MOUSE	reviewed	V(D)J recombination-activating protein 2 (RAG-2)	Rag2 Rag-2	Mus musculus (Mouse)	527
Q07133	Q07133	H1T_MOUSE	reviewed	Histone H1t (Testicular H1 histone)	H1-6 H1f6 H1ft H1t Hist1h1t	Mus musculus (Mouse)	208
P11103	P11103	PARP1_MOUSE	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (msPARP) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	Parp1 Adprp Adprt Adprt1	Mus musculus (Mouse)	1013
Q7TNS8	Q7TNS8	EPOP_MOUSE	reviewed	Elongin BC and Polycomb repressive complex 2-associated protein (Embryonic stem cell-specific PRC2 subunit p48) (ES cell-specific PRC2 subunit p48) (esPRC2p48)	Epop E13	Mus musculus (Mouse)	369
Q6A4J8	Q6A4J8	UBP7_MOUSE	reviewed	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (mHAUSP) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	Usp7 Hausp	Mus musculus (Mouse)	1103
P62869	P62869	ELOB_MOUSE	reviewed	Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2)	Elob Tceb2	Mus musculus (Mouse)	118
Q6DIC0	Q6DIC0	SMCA2_MOUSE	reviewed	Probable global transcription activator SNF2L2 (EC 3.6.4.-) (ATP-dependent helicase SMARCA2) (BRG1-associated factor 190B) (BAF190B) (Protein brahma homolog) (SNF2-alpha) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2)	Smarca2 Baf190b Brm Snf2a Snf2l2	Mus musculus (Mouse)	1577
O88974	O88974	SETB1_MOUSE	reviewed	Histone-lysine N-methyltransferase SETDB1 (EC 2.1.1.366) (ERG-associated protein with SET domain) (ESET) (SET domain bifurcated 1)	Setdb1 Eset Kiaa0067	Mus musculus (Mouse)	1307
O55201	O55201	SPT5H_MOUSE	reviewed	Transcription elongation factor SPT5 (DRB sensitivity-inducing factor large subunit) (DSIF large subunit)	Supt5h Supt5	Mus musculus (Mouse)	1082
Q62018	Q62018	CTR9_MOUSE	reviewed	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1) (Tetratricopeptide repeat-containing, SH2-binding phosphoprotein of 150 kDa) (TPR-containing, SH2-binding phosphoprotein of 150 kDa) (p150TSP)	Ctr9 Kiaa0155 Sh2bp1	Mus musculus (Mouse)	1173
Q91VL8	Q91VL8	TE2IP_MOUSE	reviewed	Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Repressor/activator protein 1 homolog) (RAP1 homolog)	Terf2ip Rap1 MNCb-0448 MNCb-0628	Mus musculus (Mouse)	393
Q8R4U7	Q8R4U7	LUZP1_MOUSE	reviewed	Leucine zipper protein 1 (Leucine zipper motif-containing protein)	Luzp1 Luzp	Mus musculus (Mouse)	1068
Q62141	Q62141	SIN3B_MOUSE	reviewed	Paired amphipathic helix protein Sin3b (Histone deacetylase complex subunit Sin3b) (Transcriptional corepressor Sin3b)	Sin3b Kiaa0700	Mus musculus (Mouse)	1098
Q8C4Y3	Q8C4Y3	NELFB_MOUSE	reviewed	Negative elongation factor B (NELF-B) (Cofactor of BRCA1)	Nelfb Cobra1 MNCb-5210	Mus musculus (Mouse)	580
Q8BJ51	Q8BJ51	MFS11_MOUSE	reviewed	UNC93-like protein MFSD11 (Major facilitator superfamily domain-containing protein 11) (Protein ET)	Mfsd11 Et	Mus musculus (Mouse)	449
P70351	P70351	EZH1_MOUSE	reviewed	Histone-lysine N-methyltransferase EZH1 (EC 2.1.1.356) (ENX-2) (Enhancer of zeste homolog 1)	Ezh1 Enx2	Mus musculus (Mouse)	747
Q08297	Q08297	RAD51_MOUSE	reviewed	DNA repair protein RAD51 homolog 1 (RAD51 homolog A)	Rad51 Rad51a Reca	Mus musculus (Mouse)	339
Q99LT0	Q99LT0	DPY30_MOUSE	reviewed	Protein dpy-30 homolog (Dpy-30-like protein) (Dpy-30L)	Dpy30	Mus musculus (Mouse)	99
Q9CXG9	Q9CXG9	PHF19_MOUSE	reviewed	PHD finger protein 19 (Polycomb-like protein 3)	Phf19 Pcl3	Mus musculus (Mouse)	578
Q9QYE3	Q9QYE3	BC11A_MOUSE	reviewed	B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein) (EVI-9)	Bcl11a Ctip1 Evi9 Kiaa1809	Mus musculus (Mouse)	773
P13412	P13412	TNNI2_MOUSE	reviewed	Troponin I, fast skeletal muscle (Troponin I, fast-twitch isoform)	Tnni2	Mus musculus (Mouse)	182
Q9D3E6	Q9D3E6	STAG1_MOUSE	reviewed	Cohesin subunit SA-1 (SCC3 homolog 1) (Stromal antigen 1)	Stag1 Sa1	Mus musculus (Mouse)	1258
O35638	O35638	STAG2_MOUSE	reviewed	Cohesin subunit SA-2 (SCC3 homolog 2) (Stromal antigen 2)	Stag2 Sa2 Sap2	Mus musculus (Mouse)	1231
Q3U2K5	Q3U2K5	KDM4D_MOUSE	reviewed	Lysine-specific demethylase 4D (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3D) (Jumonji domain-containing protein 2D) ([histone H3]-trimethyl-L-lysine(9) demethylase 4D)	Kdm4d Jhdm3d Jmjd2d	Mus musculus (Mouse)	510
Q6ZQK0	Q6ZQK0	CNDD3_MOUSE	reviewed	Condensin-2 complex subunit D3 (Non-SMC condensin II complex subunit D3)	Ncapd3 Kiaa0056	Mus musculus (Mouse)	1506
P24452	P24452	CAPG_MOUSE	reviewed	Macrophage-capping protein (Actin regulatory protein CAP-G) (Actin-capping protein GCAP39) (Myc basic motif homolog 1)	Capg Mbh1	Mus musculus (Mouse)	352
Q8BRH4	Q8BRH4	KMT2C_MOUSE	reviewed	Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.354) (Myeloid/lymphoid or mixed-lineage leukemia protein 3 homolog)	Kmt2c Mll3	Mus musculus (Mouse)	4903
O08917	O08917	FLOT1_MOUSE	reviewed	Flotillin-1	Flot1	Mus musculus (Mouse)	428
Q80VR2	Q80VR2	ELL3_MOUSE	reviewed	RNA polymerase II elongation factor ELL3	Ell3	Mus musculus (Mouse)	395
Q8CGY8	Q8CGY8	OGT1_MOUSE	reviewed	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	Ogt	Mus musculus (Mouse)	1046
Q91Y44	Q91Y44	BRDT_MOUSE	reviewed	Bromodomain testis-specific protein (Bromodomain-containing female sterile homeotic-like protein) (RING3-like protein)	Brdt Fsrg3	Mus musculus (Mouse)	956
Q6RHR9	Q6RHR9	MAGI1_MOUSE	reviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (BAI1-associated protein 1) (BAP-1) (Membrane-associated guanylate kinase inverted 1) (MAGI-1)	Magi1 Baiap1 Bap1	Mus musculus (Mouse)	1471
O55242	O55242	SGMR1_MOUSE	reviewed	Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R)	Sigmar1 Oprs1	Mus musculus (Mouse)	223
Q4JK59	Q4JK59	TET2_MOUSE	reviewed	Methylcytosine dioxygenase TET2 (EC 1.14.11.n2) (Protein Ayu17-449)	Tet2 Kiaa1546	Mus musculus (Mouse)	1912
O70126	O70126	AURKB_MOUSE	reviewed	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	Aurkb Aik2 Aim1 Airk2 Ark2 Stk1 Stk12 Stk5	Mus musculus (Mouse)	345
Q99LG0	Q99LG0	UBP16_MOUSE	reviewed	Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-specific-processing protease 16)	Usp16	Mus musculus (Mouse)	825
Q8BLG0	Q8BLG0	PHF20_MOUSE	reviewed	PHD finger protein 20 (Hepatocellular carcinoma-associated antigen 58 homolog)	Phf20 Hca58	Mus musculus (Mouse)	1010
P61965	P61965	WDR5_MOUSE	reviewed	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein) (WD repeat-containing protein BIG-3)	Wdr5 Big Big3	Mus musculus (Mouse)	334
P48754	P48754	BRCA1_MOUSE	reviewed	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Brca1	Mus musculus (Mouse)	1812
Q8CG46	Q8CG46	SMC5_MOUSE	reviewed	Structural maintenance of chromosomes protein 5 (SMC protein 5) (SMC-5) (mSMC5) (Protein expressed in male leptotene and zygotene spermatocytes 453) (MLZ-453)	Smc5 Kiaa0594 Smc5l1	Mus musculus (Mouse)	1101
P23198	P23198	CBX3_MOUSE	reviewed	Chromobox protein homolog 3 (Heterochromatin protein 1 homolog gamma) (HP1 gamma) (M32) (Modifier 2 protein)	Cbx3	Mus musculus (Mouse)	183
Q04692	Q04692	SMRCD_MOUSE	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 (EC 3.6.4.12) (ATP-dependent helicase SMARCAD1) (Enhancer trap locus homolog 1) (Etl-1)	Smarcad1 Etl1 Kiaa1122	Mus musculus (Mouse)	1021
Q8R409	Q8R409	HEXI1_MOUSE	reviewed	Protein HEXIM1 (Cardiac lineage protein 1)	Hexim1 Clp1	Mus musculus (Mouse)	356
Q9D3R9	Q9D3R9	TAF7L_MOUSE	reviewed	Transcription initiation factor TFIID subunit 7-like (TATA box binding protein-associated factor RNA polymerase II subunit Q) (TATA box-binding protein-associated factor 50 kDa) (Transcription initiation factor TFIID 50 kDa subunit)	Taf7l Taf2q	Mus musculus (Mouse)	471
Q99L90	Q99L90	MCRS1_MOUSE	reviewed	Microspherule protein 1 (58 kDa microspherule protein)	Mcrs1 Msp58	Mus musculus (Mouse)	462
